inTemp,inHum,outTemp,outHum
15.70,72.40,25.60,77.90
15.80,72.60,25.70,77.90
15.70,72.70,25.60,77.70
15.70,72.60,25.70,77.80
15.70,72.40,25.70,77.70
15.70,72.30,25.70,77.70
15.70,72.20,25.70,77.70
15.70,72.00,25.70,77.60
15.70,71.50,25.70,77.60
15.70,71.30,25.70,77.60
15.70,71.40,25.70,77.80
15.70,71.40,25.80,77.90
15.70,71.40,25.70,78.00
15.70,71.40,25.70,78.00
15.70,71.20,25.80,77.80
15.70,71.00,25.80,77.60
15.70,71.10,25.80,77.60
15.60,71.20,25.80,77.40
15.70,71.20,25.80,77.40
15.60,70.80,25.70,77.20
15.60,71.00,25.80,77.20
15.70,71.10,25.80,77.20
15.70,71.20,25.80,77.10
15.70,71.30,25.80,77.10
15.60,71.30,25.80,77.00
15.60,71.40,25.90,77.10
15.60,71.30,25.90,77.00
15.60,71.10,25.90,76.90
15.70,71.00,25.90,76.80
15.60,71.00,25.90,76.70
15.60,70.70,25.90,76.90
15.60,70.40,25.90,76.70
15.60,70.10,26.00,76.60
15.60,70.00,25.90,76.40
15.60,70.00,25.90,76.30
15.60,70.10,25.90,76.20
15.60,70.40,26.00,76.20
15.60,70.50,25.90,76.10
15.60,70.50,26.00,76.10
15.60,70.70,26.00,76.00
15.60,70.90,26.00,75.90
15.60,71.20,26.00,75.90
15.60,71.40,26.00,75.80
15.60,71.40,26.00,75.90
15.60,71.00,26.10,76.40
15.60,70.40,26.10,76.40
15.50,70.10,26.10,76.30
15.60,70.10,26.10,76.10
15.50,70.40,26.00,75.80
15.60,70.80,26.10,75.90
15.60,70.80,26.10,75.90
15.50,70.90,26.10,75.80
15.50,70.80,26.10,75.70
15.50,70.30,26.10,76.00
15.50,69.40,26.10,75.70
15.50,69.20,26.10,75.50
15.60,69.20,26.10,75.50
15.50,68.90,26.10,75.50
15.50,68.60,26.10,75.30
15.50,68.60,26.20,75.40
15.50,68.70,26.10,75.20
15.50,68.50,26.20,75.30
15.50,68.50,26.10,75.30
15.50,68.40,26.20,75.40
15.40,68.40,26.20,75.40
15.40,68.50,26.20,75.20
15.50,68.90,26.20,75.00
15.40,69.10,26.20,74.80
15.40,69.30,26.20,74.70
15.40,69.30,26.30,74.70
15.50,69.30,26.30,74.60
15.40,69.00,26.20,74.50
15.50,68.70,26.20,74.40
15.40,68.70,26.20,74.40
15.40,68.90,26.30,74.40
15.40,69.10,26.30,74.30
15.40,69.40,26.30,74.30
15.40,69.40,26.30,74.20
15.40,68.80,26.30,74.10
15.40,68.40,26.30,74.10
15.40,68.10,26.30,74.10
15.40,67.90,26.30,74.00
15.40,67.90,26.30,74.00
15.30,67.90,26.30,73.90
15.40,68.00,26.30,73.90
15.40,68.50,26.30,73.90
15.40,68.60,26.30,73.80
15.40,68.20,26.30,73.80
15.40,68.10,26.30,73.70
15.40,68.20,26.30,73.60
15.30,68.30,26.30,73.50
15.30,68.20,26.30,73.50
15.30,68.40,26.30,73.50
15.30,68.50,26.30,73.50
15.40,68.60,26.30,73.50
