Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
20.1,58.8,26.5,74.0,35.3,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,58.7,26.4,73.9,35.2,72.3,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.0,58.8,26.5,73.9,35.2,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,58.9,26.5,73.8,35.2,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,58.9,26.5,73.8,35.2,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,59.0,26.5,73.8,35.2,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,59.1,26.5,73.7,35.2,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,59.1,26.5,73.9,35.2,72.5,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.9,59.1,26.6,74.1,35.2,72.6,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
19.8,59.2,26.6,74.0,35.2,72.6,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.9,59.4,26.6,74.1,35.2,72.8,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.7,59.3,26.6,73.9,35.2,72.6,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.7,59.4,26.6,73.9,35.2,72.6,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.7,59.5,26.6,73.9,35.2,72.7,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.7,59.6,26.6,73.9,35.2,72.8,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.7,59.8,26.6,73.8,35.2,72.8,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.6,59.7,26.6,73.8,35.1,72.8,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.6,59.7,26.6,73.7,35.1,72.7,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.6,59.8,26.6,73.5,35.1,72.6,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.6,59.9,26.6,73.5,35.1,72.7,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,59.9,26.6,73.4,35.0,72.6,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,60.0,26.6,73.4,35.0,72.7,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.6,60.0,26.7,73.7,35.2,72.8,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,59.9,26.6,73.9,35.0,72.9,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,59.8,26.6,74.3,35.0,73.0,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,59.9,26.7,74.6,35.1,73.2,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.4,59.9,26.7,74.6,35.0,73.2,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.5,60.0,26.6,74.0,35.0,73.0,57.0,7.9,0.0,54.6,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,60.0,26.6,73.7,35.0,72.8,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,60.0,26.6,73.5,35.0,72.8,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.4,60.1,26.7,73.3,35.0,72.7,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,60.2,26.7,73.1,35.0,72.6,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,60.1,26.7,73.1,35.0,72.6,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,60.0,26.7,73.1,35.0,72.6,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.3,59.9,26.7,73.1,35.0,72.5,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.2,59.8,26.6,73.1,34.9,72.4,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.2,59.8,26.7,73.0,35.0,72.4,57.0,7.9,0.0,7.8,87.5,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
